name,date,tmax_f,precip_in,snow_in
Alpine County,2026-07-30,81.7,0.0,0.0
Alpine County,2026-07-31,83.0,0.0,0.0
Alpine County,2026-08-01,86.1,0.0,0.0
Alpine County,2026-08-02,84.5,0.0,0.0
Alpine County,2026-08-03,84.9,0.0,0.0
Alpine County,2026-08-04,86.5,0.0,0.0
Alpine County,2026-08-05,86.1,0.0,0.0
Alpine County,2026-08-06,84.2,0.0,0.0
Alpine County,2026-08-07,80.9,0.0,0.0
Alpine County,2026-08-08,78.4,0.0,0.0
Alpine County,2026-08-09,81.2,0.0,0.0
Alpine County,2026-08-10,84.4,0.0,0.0
Alpine County,2026-08-11,83.7,0.0,0.0
Alpine County,2026-08-12,81.5,0.0,0.0
Alpine County,2026-08-13,80.4,0.0,0.0
Alpine County,2026-08-14,82.1,0.0,0.0
Sierra County,2026-07-30,75.3,0.0,0.0
Sierra County,2026-07-31,76.7,0.0,0.0
Sierra County,2026-08-01,84.8,0.0,0.0
Sierra County,2026-08-02,83.0,0.0,0.0
Sierra County,2026-08-03,83.4,0.0,0.0
Sierra County,2026-08-04,85.0,0.0,0.0
Sierra County,2026-08-05,85.3,0.0,0.0
Sierra County,2026-08-06,83.4,0.0,0.0
Sierra County,2026-08-07,79.7,0.0,0.0
Sierra County,2026-08-08,78.9,0.0,0.0
Sierra County,2026-08-09,81.8,0.0,0.0
Sierra County,2026-08-10,82.1,0.0,0.0
Sierra County,2026-08-11,80.3,0.0,0.0
Sierra County,2026-08-12,79.5,0.0,0.0
Sierra County,2026-08-13,80.5,0.0,0.0
Sierra County,2026-08-14,79.1,0.0,0.0
Modoc County,2026-07-30,88.0,0.0,0.0
Modoc County,2026-07-31,90.7,0.0,0.0
Modoc County,2026-08-01,92.7,0.0,0.0
Modoc County,2026-08-02,86.6,0.0,0.0
Modoc County,2026-08-03,87.1,0.0,0.0
Modoc County,2026-08-04,92.3,0.0,0.0
Modoc County,2026-08-05,96.0,0.0,0.0
Modoc County,2026-08-06,95.6,0.0,0.0
Modoc County,2026-08-07,90.1,0.0,0.0
Modoc County,2026-08-08,87.2,0.0,0.0
Modoc County,2026-08-09,90.8,0.0,0.0
Modoc County,2026-08-10,94.3,0.0,0.0
Modoc County,2026-08-11,91.1,0.0,0.0
Modoc County,2026-08-12,91.1,0.0,0.0
Modoc County,2026-08-13,89.0,0.0,0.0
Modoc County,2026-08-14,92.3,0.047,0.0
Mono County,2026-07-30,84.3,0.0,0.0
Mono County,2026-07-31,87.0,0.0,0.0
Mono County,2026-08-01,87.5,0.0,0.0
Mono County,2026-08-02,86.8,0.0,0.0
Mono County,2026-08-03,86.8,0.0,0.0
Mono County,2026-08-04,86.9,0.0,0.0
Mono County,2026-08-05,86.5,0.0,0.0
Mono County,2026-08-06,86.5,0.0,0.0
Mono County,2026-08-07,84.2,0.0,0.0
Mono County,2026-08-08,81.2,0.0,0.0
Mono County,2026-08-09,78.3,0.0,0.0
Mono County,2026-08-10,80.3,0.0,0.0
Mono County,2026-08-11,81.1,0.0,0.0
Mono County,2026-08-12,81.2,0.0,0.0
Mono County,2026-08-13,76.1,0.012,0.0
Mono County,2026-08-14,78.2,0.012,0.0
Trinity County,2026-07-30,82.8,0.0,0.0
Trinity County,2026-07-31,84.7,0.0,0.0
Trinity County,2026-08-01,82.8,0.0,0.0
Trinity County,2026-08-02,84.8,0.0,0.0
Trinity County,2026-08-03,91.3,0.0,0.0
Trinity County,2026-08-04,96.1,0.0,0.0
Trinity County,2026-08-05,96.2,0.0,0.0
Trinity County,2026-08-06,94.5,0.0,0.0
Trinity County,2026-08-07,87.8,0.0,0.0
Trinity County,2026-08-08,93.7,0.0,0.0
Trinity County,2026-08-09,94.2,0.0,0.0
Trinity County,2026-08-10,92.4,0.0,0.0
Trinity County,2026-08-11,87.8,0.0,0.0
Trinity County,2026-08-12,90.6,0.0,0.0
Trinity County,2026-08-13,86.9,0.0,0.0
Trinity County,2026-08-14,90.9,0.0,0.0
Mariposa County,2026-07-30,92.1,0.0,0.0
Mariposa County,2026-07-31,95.7,0.0,0.0
Mariposa County,2026-08-01,100.2,0.0,0.0
Mariposa County,2026-08-02,100.0,0.0,0.0
