name,date,tmax_f,precip_in,snow_in
Alpine County,2023-07-30,77.9,0.0,0.0
Alpine County,2023-07-31,77.9,0.0,0.0
Alpine County,2023-08-01,78.6,0.0,0.0
Alpine County,2023-08-02,77.2,0.0,0.0
Alpine County,2023-08-03,76.1,0.043,0.0
Alpine County,2023-08-04,75.9,0.004,0.0
Alpine County,2023-08-05,77.1,0.0,0.0
Alpine County,2023-08-06,79.3,0.0,0.0
Alpine County,2023-08-07,76.8,0.0,0.0
Alpine County,2023-08-08,76.1,0.0,0.0
Alpine County,2023-08-09,74.8,0.0,0.0
Alpine County,2023-08-10,78.5,0.008,0.0
Alpine County,2023-08-11,73.1,0.035,0.0
Alpine County,2023-08-12,77.5,0.028,0.0
Alpine County,2023-08-13,78.2,0.004,0.0
Alpine County,2023-08-14,72.0,0.173,0.0
Alpine County,2023-08-15,75.7,0.012,0.0
Alpine County,2023-08-16,76.4,0.11,0.0
Alpine County,2023-08-17,74.8,0.004,0.0
Alpine County,2023-08-18,72.4,0.063,0.0
Alpine County,2023-08-19,72.1,0.035,0.0
Alpine County,2023-08-20,56.5,0.618,0.0
Alpine County,2023-08-21,58.5,0.331,0.0
Alpine County,2023-08-22,62.2,0.008,0.0
Alpine County,2023-08-23,71.0,0.0,0.0
Alpine County,2023-08-24,70.3,0.0,0.0
Alpine County,2023-08-25,71.6,0.004,0.0
Alpine County,2023-08-26,72.3,0.0,0.0
Alpine County,2023-08-27,76.9,0.0,0.0
Alpine County,2023-08-28,79.6,0.0,0.0
Alpine County,2023-08-29,74.3,0.0,0.0
Alpine County,2023-08-30,76.8,0.0,0.0
Alpine County,2023-08-31,69.8,0.0,0.0
Alpine County,2023-09-01,57.7,0.102,0.0
Alpine County,2023-09-02,60.4,0.008,0.0
Alpine County,2023-09-03,51.4,0.264,0.0
Alpine County,2023-09-04,62.9,0.0,0.0
Alpine County,2023-09-05,69.3,0.0,0.0
Alpine County,2023-09-06,66.8,0.016,0.0
Alpine County,2023-09-07,68.6,0.0,0.0
Alpine County,2023-09-08,69.6,0.0,0.0
Alpine County,2023-09-09,67.3,0.0,0.0
Alpine County,2023-09-10,68.1,0.055,0.0
Alpine County,2023-09-11,69.7,0.02,0.0
Alpine County,2023-09-12,68.3,0.008,0.0
Alpine County,2023-09-13,66.1,0.079,0.0
Alpine County,2023-09-14,67.9,0.0,0.0
Alpine County,2023-09-15,70.1,0.0,0.0
Alpine County,2023-09-16,68.3,0.016,0.0
Alpine County,2023-09-17,70.3,0.079,0.0
Alpine County,2023-09-18,68.4,0.075,0.0
Alpine County,2023-09-19,68.0,0.012,0.0
Alpine County,2023-09-20,63.6,0.0,0.0
Alpine County,2023-09-21,49.9,0.134,0.0
Alpine County,2023-09-22,60.7,0.0,0.0
Alpine County,2023-09-23,63.3,0.0,0.0
Alpine County,2023-09-24,63.4,0.0,0.0
Alpine County,2023-09-25,61.8,0.0,0.0
Alpine County,2023-09-26,63.3,0.0,0.0
Alpine County,2023-09-27,67.0,0.0,0.0
Alpine County,2023-09-28,67.5,0.0,0.0
Alpine County,2023-09-29,59.4,0.0,0.0
Alpine County,2023-09-30,44.5,0.165,0.524
Alpine County,2023-10-01,42.4,0.146,0.386
Alpine County,2023-10-02,49.9,0.008,0.0
Alpine County,2023-10-03,57.3,0.0,0.0
